Title,URL,Content,Date,Word Count
On Tasks Large and Small,https://scholarslab.lib.virginia.edu/blog/on-tasks-large-and-small/,"The biggest issue that I have faced with my work with the Praxis Program has to do with how I judge the difficulty of the tasks before me. I have proven to be singularly inadequate at distinguishing quick fixes with a large payoff from larger problems that would yield only small utility. This issue surfaced early on, when I boldly suggested that I could implementOmniauthin a week. Two and a half months later I am still trying to get it to work: the Omniauth code structure works more generally, but each authentication service is its own unique little snowflake, different from all the other snowflakes in the code breaking eccentricities that it brings to the table. We had to jettison Twitter early on because it would not return user emails, which are central to the way that Devise handles logins. Facebook worked on local rails servers, but something whacky is happening on staging (and in deployment, for that matter) so that it throws a redirect uri failure at us that did not appear befor...",2013-05-06T10:06:03-04:00,423
Looking Forward,https://scholarslab.lib.virginia.edu/blog/looking-forward/,"As we move into the second half of our tenure on thePraxissquad, we are feeling the pressure to start actually making something. To that end, theSLabcrew asked us to make a list of our priorities forPrism. Hopefully this will help us make a to do list in the coming weeks. The following was the list that seemed to come out of yesterday’s meeting, though it’s possible that other people could have gotten different impressions from the conversation.These seem to be our priorities, in no particular order except roughly that in which they were brought up:Types of texts- we’re interested in opening up the Prism framework to deal with pictures, music, etc.Getting a crowd- we want to get a large group of people working with Prism, however that might be arranged.Visualizations- we’re interested in expanding Prism’s visualizations to allow you to see the individual set of markings in relation to the crowd and to let you see one marking category’s visualization beside another.User uploads- we want...",2013-02-01T06:52:33-05:00,368
Jekyll Tag Clouds,https://scholarslab.lib.virginia.edu/blog/jekyll-tag-clouds/,"Crossposted toBrandon's Blog.Blogging more this summer has unsurprisingly meant that I have spent a lot of time on my blog. I noticed that the way I had my site generate category pages had stopped working at some point. I set the whole thing up so long ago that troubleshooting it was hard. My old way involved using a plugin to generate categories, which meant that I needed to host my Jekyll site separately from GitHub Pages. Searching around for other options eventually took me toLong Qian’s post on generating tags in Jekyll, which promised to do a similar approach but with vanilla Jekyll and liquid syntax.I got their approach working to replace my old system. My old use of categories was pretty restricted though–I had really only used them to create separate pages for my pedagogy, DH Now, and DH+Lib posts. But Quian’s post got me thinking about discovery and my blog archive, so I took things a step further and added just a couple tweaks to their post (based on aStack Overflow post the...",2023-06-26T00:00:00-04:00,368
Marking and Explanation in Prism,https://scholarslab.lib.virginia.edu/blog/marking-and-explanation-in-prism-2/,"My first experience withPrismlast spring brought something of an existential crisis along with it, when I was asked to mark my belovedA Portrait of the Artist as a Young Manin terms of realism/modernism:He was baby tuckoo. The moocow came down the road where Betty Byrne lived: she sold lemon platt.O, the wild rose blossomsOn the little green place.ConsideringPortraitas a modernist novel was nothing new, but being asked to consider individual words in that context was altogether unsettling. Words like “tuckoo” and “moocow” are easy to mark as modernist, but “baby” is perfectly reasonable within a realist text; it only begins to feel experimental as a part of the larger phrase “baby tuckoo.” And how do we account for the two lines of verse, where the words themselves are not particularly experimental but the juxtaposition between prose and poetry creates just the sort of genre bending you would expect from modernism?I think this very brief analysis tells us something very important about...",2012-10-01T11:08:17-04:00,423
Finding The Community After Twitter,https://scholarslab.lib.virginia.edu/blog/finding-the-community-after-twitter/,"Crossposted toBrandon's blog.For years and like many in DH, Twitter was my main connection to the larger DH community, both to share my own work and to see what was going on in the field. I never felt that I was consistently active on the platform, but I had accumulated a modest following over the course of the last decade more by virtue of consistency than anything else. I was always convinced most of those were bots, but I did come to cherish the little cohort of DH regulars that interacted in that space. It was how I learned about the field, found jobs for students, and generally stayed connected.The platform has long been fraught, a wildly different experience depending on your identity and work. But things feel different now. This summer’s writing sprint coincided neatly with Twitter’s ongoing implosion due to Musk’s mismanagement (the platform became X since this post was first drafted). I’ve largely refrained from posting there for a few months as the ties between the app and fa...",2023-08-14T00:00:00-04:00,1271
Origin Story,https://scholarslab.lib.virginia.edu/blog/origin-story/,"Crossposted toBrandon's blog.Students often ask me during professional development conversations to talk about my own path that brought me to where I am today. I thought I would document a version of that narrative here in the spirit of the “Origin Stories” shared as a part of theSpeaking in Codeevent hosted by the Scholars’ Lab years ago. I found those narratives to be helpful as I was finding my own way, however contextual and idiosyncratic they might be. It’s hard to know where one might walk when the tracks aren’t always clear. Hopefully my own winding path will prove useful to someone else, even with all the caveats I note below about how dependent my own story is on circumstance, luck, and privilege. This post will be a little more detailed than the 1:1 conversations I have with students, and I’ll try to save reflections for the end.I was a big tech nerd growing up. I played video games obsessively. As far back as I can remember, I told people that I planned on being a video game...",2023-06-19T00:00:00-04:00,2007
How to Build a DH Scene,https://scholarslab.lib.virginia.edu/blog/how-to-build-a-dh-scene/,"Crossposted toBrandon's blog.I’m in the middle of listening to an audiobook of David Byrne’sHow Music Works. The book is a fascinating glimpse into the music industry, but I almost had to pull my car over when he started talking about digital humanities centers.Okay–Byrne was actually in the middle of a whole chapter describing the special character of CBGB, the renowned music club that opened in 1973 and that was the frequent haunt of punk and new wave bands. But I was struck by just how resonant so much of his advice for cultivating a special and identifiable community was to me, someone who spends a lot of time working to do the same with students new to digital humanities. Once I parked, I quickly made some notes riffing on Byrne’s own eight characteristics of a successful music scene. I’ll share Byrne’s elements below and then riff on them as they relate to our own practice of cultivating collective DH experiences. You can find out more about Byrne’s own points by reading David A....",2024-09-17T00:00:00-04:00,1023
Announcing 2020-2021 Fellows!,https://scholarslab.lib.virginia.edu/blog/announcing-2020-2021-fellows/,"We are thrilled to announce the 2020-2021 Scholar’s Lab fellows for the Praxis Program and the Graduate Fellowship in the Digital Humanities. We are welcoming 8 fellows from 6 disciplines from the arts, humanities, and social sciences. Our graduate fellows are joining a robust and vibrant community of past students!Praxis ProgramWe are delighted to welcome 6 team members to the 10th (!) year of the Praxis Program, our flagship introduction to digital humanities by way of collaborative, project-based pedagogy:Grace Alvino, EnglishEmma Dove, Art and Architectural HistoryElise Foote, EnglishCrystal Luo, HistorySavanna Morrison, MusicAaron Thompson, Slavic Languages and LiteraturesLook forward to more details about the Praxis Program’s new project in the fall!Graduate Fellows in the Digital HumanitiesFinally, we are looking forward to working with Janet Dunkelbarger and Michelle Morgenstern, our 2020-2021 Graduate Fellows in the Digital Humanities.Janet S. Dunkelbarger’s (Art and Architect...",2020-05-11T10:23:47-04:00,266
Getting from Here To There,https://scholarslab.lib.virginia.edu/blog/getting-from-here-to-there/,"Crossposted tomy personal blog.A few weeks ago, I visited Emory University in conjunction with the launch of theirnew graduate fellowshipfor students aiming to incorporate digital projects in their dissertations. This is the first of two posts sharing materials from the two events I took part in while there. I was asked to give a workshop on project development for graduate students as well as an open talk on digital humanities pedagogy. The text of what follows pertains to the workshop for students, where I was asked to give a broad overview of how to approach project planning and some activities for helping them think through their work for the year. I essentially tried to condense the greatest hits of thePraxis Programinto 90 minutes. I was asked to give a 30 minute talk and 60 minute workshop, but I’ll get into how we shifted things around below.First, a few caveats. For one, I write a talk for situations like these, but I try to avoid straight-up reading the text (more info on how...",2019-09-19T11:06:10-04:00,7553
Jekyll Crossposting with Raketags,https://scholarslab.lib.virginia.edu/blog/jekyll-crossposting-with-rake/,"Crossposted toBrandon's blog.If you’ve spent any time at all reading on my blog you’ve probably noticed that I crosspost virtually all my material to theScholars’ Labsite. There are good reasons for this: almost everything I do in one space is relevant to the other, and it’s way to drive traffic between the two places. It’s a bit of a pain though. While both sites are built with Jekyll, they live in two different repositories, two different folders on my computer. They also each have slightly different frontmatter. So my old workflow looked something like this:Compose and edit in my blog repository.Open a second window.Carefully copy and past everything from my original post into the identical post in the other site folder.Edit the front matter.Publish.Grumble the whole time.I use a rake task to automate the building of the initial post, which saves a little time by generating everything for my post templates.That command looks like this:desc ""Begin a new post in #{posts_dir}""
task :ne...",2023-11-08T00:00:00-05:00,897
Announcing ‘Land And Legacy’,https://scholarslab.lib.virginia.edu/blog/announcing-land-and-legacy/,"We are pleased to shareLand and Legacy, the project launched by this year’s Praxis cohort.ThePraxis Programis a year-long reimagining of graduate methodological training for the digital age. Each year, a cohort of students works with theScholars’ Labto design, implement, and execute a digital project. This excerpt fromLand and Legacy’s about page best summarizes the work of this year’s cohort:Land and Legacyinvestigates the University of Virginia’s and UVA Foundation’s land development and expansion throughout Charlottesville and Albemarle County since the 1980s. In light of UVA’s 2030 plan to be “Great and Good,”Land and Legacyexamines how these developments have affected local communities, and place these impacts in dialogue with UVA’s public narratives.In the fall, the students discussed and met with project leaders from theCharlottesville Regional Equity Atlas. With this project as inspiration, the students were givena datasetpertaining to real estate development by the University ...",2020-05-13T10:10:52-04:00,370
Arduino Rainbow Hack,https://scholarslab.lib.virginia.edu/blog/arduino-rainbow-hack/,"The following was co-authored and co-hacked withClaire.Claire and I went to theArduinoHackday hosted by the Scholars’ Lab on Friday. We had no idea what we were getting into, which made it all the more fun.Jeremybrought in a bunch of Arduino kits of all shapes and sizes, and various people went to work to see what they could make out of them.First Claire and I got a blinking light to work. From there we decided to skip several chapters to make a little music player using a piezo speaker component. At that point we went off the map, dreaming big and working off the page. We started out working with thisschematic, but we wanted to expand things a little.I apologize in advance for whatever vocabulary gap there might be in the discussion below; it was my first time coding in C.For one, this set-up only uses a single octave major scale. We opened things up by expanding the range of tones the speaker could play, including both a chromatic scale and adding an extra octave. One difficulty here...",2013-05-14T05:58:37-04:00,618
Counting To Seven,https://scholarslab.lib.virginia.edu/blog/counting-to-seven/,"Crossposted toBrandon's blog.When working with students on DH pedagogy, one common question I get is how to run a classroom discussion. After all, some disciplines rely more on lecture-based approaches to instruction than conversation. Running a discussion can feel totally new for students unfamiliar to the format, especially so if the topic is DH-related. I wanted to share a short little trick you can use to ease into the format across topics and methods, including in DH.A lot of the anxiety new instructors feel about running discussions comes back to silence. Dead air can be terrifying–the exact moment when imposter syndrome will flare up. When you ask a question and no one responds the instinct might be to answer it yourself. But this loop can create a space in which one gestures towards a discussion without actually giving the students space to speak up. Instead of back and forth, you produce what is essentially a lecture with performative discussion elements. Sometimes you do need...",2023-06-12T00:00:00-04:00,387
Listening At Length,https://scholarslab.lib.virginia.edu/blog/listening-at-length/,"Crossposted toBrandon's Blog.I posted this summer about how I’ve been doing more DH listening–podcasts, lectures, workshop recordings–as a way of keeping up with the field in the cracks of the day. Inthat postI started a running list of things I’ve been checking out, and I just added a few DH-relevant audiobooks to that post as their own section. While they’re not as easy to come by free, you can still find a fair number of DH-y audiobooks included as part of subscriptions to other services or provided by your local library.I’ve just finished three audiobooks and started a fourth:Antisocial Media: How Facebook Disconnects Us and Undermines Democracyby Siva VaidhyanathanMindfulness for Teachers: Simple Skills for Peace and Productivity in the Classroomby Patricia A. JenningsLower Ed: The Troubling Rise of For-Profit Colleges in the New Economyby Tressie McMillan CottomPlay Anything: The Pleasure of Limits, the Uses of Boredom, and the Secret of Gamesby Ian BogostAll very doable in this ...",2023-09-06T00:00:00-04:00,400
Apply to our 2021-2022 cohort of Digital Humanities Fellows!,https://scholarslab.lib.virginia.edu/blog/apply-to-be-a-digital-humanities-fellow-2021-2022-cohort/,"The application deadline for fellowships to be held during the 2021-2022 academic year isMonday, February 15th, 2021. More details on how to apply at the end of this page.If you’re interested in learning more about the fellowship or have questions about anything you read below, please consider attending the information session for the 2021-2022 cohort -January 19th, 2021 from 2:00-3:00 on Zoom. Pleaseregisterto attend. You are, of course, welcome to write toBrandon Walshseparately and/or sooner for an individual meeting to discuss your application so that you can get working.The Digital Humanities Fellowship supports advanced doctoral students doing innovative work in the digital humanities at the University of Virginia. The Scholars’ Lab offers Grad Fellows advice and assistance with the creation and analysis of digital content, as well as consultation on intellectual property issues and best practices in digital scholarship and DH software development. The highly competitive Graduate...",2020-11-10T09:37:19-05:00,999
Are you one of our 2022-2023 Digital Humanities Fellows?,https://scholarslab.lib.virginia.edu/blog/are-you-one-of-our-2022-2023-digital-humanities-fellows/,"Have a digital project you’d like to work on in conjunction with your dissertation?Applications are now open for the 2022-2023 Digital Humanities Fellowship cohort.The application deadline for fellowships to be held during the 2022-2023 academic year isFebruary 15th, 2022. More details on how to apply at the end of this page.If you’re interested in learning more about the fellowship or have questions about anything you read below, please consider attending the information session for the 2022-2023 cohort -Tuesday, January 18th, 2022 from 10:00-11:00 on Zoom. Pleaseregisterto attend. You are, of course, encouraged to write toBrandon Walshseparately and/or sooner for an individual meeting to discuss your application so that you can begin your application.The Digital Humanities Fellowship supports advanced doctoral students doing innovative work in the digital humanities at the University of Virginia. The Scholars’ Lab offers Grad Fellows advice and assistance with the creation and analys...",2021-10-27T00:00:00-04:00,1038
Meet Our 2023-2024 Fellows,https://scholarslab.lib.virginia.edu/blog/meet-our-2023-2024-fellows/,"We are thrilled to announce the 2023-2024 Scholar’s Lab fellows for the Praxis Program and the Graduate Fellowship in the Digital Humanities. We are welcoming 6 fellows from 3 disciplines from the arts, humanities, and social sciences. Our graduate fellows are joining a robust and vibrant community of past students!Praxis ProgramWe are delighted to welcome 5 team members to the 13th (!) year of the Praxis Program, our flagship introduction to digital humanities by way of collaborative, project-based pedagogy:Arselyne Chery (English)Molly Joyce (Music, composition)Kathleen King (Music, critical and comparative)Rachel Retica (English)Seanna Viechweg (English)Look forward to more details about the Praxis Program’s work in the fall!Graduate Fellows in the Digital HumanitiesFinally, we are looking forward to working with Jennifer Saunders, our 2023-2024 Graduate Fellow in the Digital Humanities.Jennifer Saunders’ (Anthropology) dissertation is titled “The Archaeology of Affect: 19th-20th-Ce...",2023-04-13T00:00:00-04:00,231
Prism Proposal: Against Anonymity,https://scholarslab.lib.virginia.edu/blog/prism-proposal-against-anonymity/,"Jeremy asked us to offer a Prism exercise that would take the tool in a new direction. Rather than expanding the tool’s parameters, I would like to think about how we can get a more nuanced understanding of the information it already collects. In what follows I offer a vaporware exercise that we will play in person, suggest some thoughts on the disciplinary and pedagogical questions it might answer, and I conclude with some suggestions for adapting the exercise for digital use.The idea: rather than marking multiple categories, all participants mark a single category. Each person has his or her own unique marking color.The text: The specific text is not important for this particular idea, but for the sake of the exercise I will use“The Weary Blues”by Langston HughesThe marking: Other(s)The research/pedagogical issues at stake: The exercise was designed with pedagogy in mind. In the final visualization, the color constellation tells us who marked what in a clearer way: red for Brandon, g...",2012-10-23T09:14:53-04:00,827
Digital Humanities Job Talks: Some Case Studies,https://scholarslab.lib.virginia.edu/blog/digital-humanities-job-talks/,"Crossposted toBrandon's blogandAmanda's blog.To follow up on sharing and annotatingour past cover lettersfor DHy academic jobs, in this post we share how we’ve thought through past job talk prompts and the experience of giving the resulting presentations. (To learn more about Brandon’s practical workflow to drafting and memorizing talks, check out hispost on DH public speaking! To learn about Amanda’s workflow, prod her to finally publish a now-too-long post about DH and public speaking anxiety before 2020 ends…)Before you dive in, though, you may wish to read our October 2019 blog post“How We Talk and Write about DH Jobs”if you haven’t already. Well intentioned academic job advice can be and often is harmful—so in that post’s “Slightly Better Job Advice, Take Two” section, we discuss how we’re trying to share what we know about job searches in a way that affirms any readers as valued peers and scholars, just as they are. We hope sharing our experiences here can be useful and not overl...",2019-12-16T00:00:00-05:00,4911
Digital Humanities Pedagogy And Opportunities For Hope,https://scholarslab.lib.virginia.edu/blog/digital-humanities-pedagogy-and-opportunities-for-hope/,"Crossposted tomy personal blog.In September, I visited Emory University in conjunction with the launch of theirnew graduate fellowshipfor students aiming to incorporate digital projects in their dissertations. This is the second of two posts sharing materials from the events I took part in while there. I was asked to givea workshop on project development for graduate studentsas well as an open talk on digital humanities pedagogy. The text of what follows pertains to the open talk I gave, where I was asked to give a broad overview of how the Scholars’ Lab works with students. I write a talk for situations like these, but I try to avoid straight-up reading the text (more info on how I approach public speaking in DH available here). So what you will see below is more like a roadmap of the general gist of what we talked about. I did not consult the text too much in the moment. The only other relevant piece of framing that you will need is that I added the phrase “he works for the students”...",2019-10-17T00:00:00-04:00,5809
Digital Humanities And The Ellington Effect,https://scholarslab.lib.virginia.edu/blog/digital-humanities-and-the-ellington-effect/,"Crossposted toBrandon's blog.I’ve long admired Lisa Rhody’s post on whatdigital humanists can learn from improv comedy. Besides the excellent message that text conveys on collaboration (always ask how your contribution moves things forward), I always think of that piece as a model for how outside interests can inform the work that we do. For my own part, a lot of how I approach collaboration and digital humanities comes from the world of music. I’ve played in a variety of bands and musical contexts for at least twenty-five years, and my experience as a part of the Charlottesville jazz community especially has long shaped how I work with others. Jazz history is full of lessons for the prospective DHer (or really for any field).1I’ll focus today on what digital humanists can learn about collaboration and leadership from one the music’s most prominent bandleaders–Duke Ellington.Ellington’s long career as a director, composer, and arranger for jazz big band is a masterclass in how parts be...",2023-07-10T00:00:00-04:00,1140
We Data: An Icebreaking Activity,https://scholarslab.lib.virginia.edu/blog/we-data-an-icebreaking-activity/,"Crossposted toBrandon's blog.This semester, I’m teaching an undergraduate course at UVA called “Data for the Rest of Us.” The course is, broadly, an attempt to introduce principles and practices of critical data literacy to students who might otherwise find full-blow data science intimidating. I’ve published thewhole course online, and I’ll likely be posting some reflections off and on as the course proceeds. The centerpiece of the course is the group construction of a dataset and associated narrative description based on their research interests, an outcome that I’m largely basing onResponsible Datasets in Context. Much more to say about the design of the course as a whole, but I wanted to document a little about the first day today. If RDiC is where the inspiration for the course came from, I’ve had the first day’s activity in my head just as long. I planned to introduce myself and the course in a few minutes before quickly shifting gears into something I called “We Data.” Here’s the...",2025-01-14T00:00:00-05:00,893
Out on a (Small) Limb,https://scholarslab.lib.virginia.edu/blog/out-on-a-small-limb/,"In writing the following post, I was struck by how close it felt to oneAlex Gilwrote last year about a similar Prism disaster that he called theherokulypse. Alex wrote his post on April 23 of last year, so we’re a few days ahead of schedule for apocalyptic project events.–Over the past few weeks the Praxers have been diligently working on their own pieces of Prism.GwenandCeciliahave been making strides with design,Chrishas worked on highlighting and now visualizing,Shanehas been doggedly attacking user uploads, and I worked on pieces of Omniauth, design, and uploads. On Monday we made our first attempt to really put things back together, and theresult was pretty horrific.My sense was that we had all broken Prism a little bit in our own special way. Some of these broken pieces weren’t really noticeable until we combined everything back together, when suddenly Prism became a big goopy mess. CSS was screwed up, the databases didn’t work right, migrations were failing, and the basic functi...",2013-04-17T06:24:45-04:00,394
Moving People/Linking Lives DH Symposium,https://scholarslab.lib.virginia.edu/blog/moving-peoplelinking-lives-dh-symposium/,"I am pleased to announce that “Moving People, Linking Lives: An Interdisciplinary Symposium” will take place March 20-21, 2015 at the University of Virginia. Friday, March 20 events will take place in the Kaleidoscope Room. Saturday, March 21 events will take place in Alderman 421 except for an evening reception, location to be determined.Presentations and workshops will open dialogue across different fields, periods, and methods, from textual interpretation to digital research. Invited participants include specialists on narrative theory and life writing, prosopography or comparative studies of life narratives in groups, and the diverse field of digital humanities or computer-assisted research on cultural materials, from ancient texts to Colonial archives, from printed books to social media.Invited participants include: Elton Barker, Jason Boyd, James Phelan, Susan Brown, Margaret Cormack, Courtney Evans, Will Hanley, Ben Jasnow, Ruth Page, Sue Perdue, Sidonie Smith. We hope to have l...",2015-02-02T09:16:35-05:00,532
Announcing 2022-2023 Fellows,https://scholarslab.lib.virginia.edu/blog/announcing-2022-2023-fellows/,"We are thrilled to announce the 2022-2023 Scholar’s Lab fellows for the Praxis Program and the Graduate Fellowship in the Digital Humanities. We are welcoming 7 fellows from 6 disciplines from the arts, humanities, and social sciences. Our graduate fellows are joining a robust and vibrant community of past students!Praxis ProgramWe are delighted to welcome 5 team members to the 12th (!) year of the Praxis Program, our flagship introduction to digital humanities by way of collaborative, project-based pedagogy:Malcolm Cammeron, HistoryCaroline Carter, Art and Architectural HistoryLauren Garcia, SociologyWinnie Pérez Martínez, SpanishSamantha Stephens, EnglishLook forward to more details about the Praxis Program’s work in the fall!Graduate Fellows in the Digital HumanitiesFinally, we are looking forward to working with Rebecca Brown and Eleanore Neumann, our 2022-2023 Graduate Fellows in the Digital Humanities.Rebecca Brown’s (Music, Composition & Computer Technologies) dissertation is ti...",2022-04-25T00:00:00-04:00,248
